UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-NON VEHICLE,192431027,08/31/2019,439 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76101,-84.37345,
LARCENY-NON VEHICLE,192431355,08/31/2019,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,192431633,08/31/2019,2452 MOROSGO WAY NE,211,Lindbergh/Morosgo,B,33.82295,-84.36559,
LARCENY-NON VEHICLE,192431776,08/31/2019,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201,
LARCENY-FROM VEHICLE,192430137,08/31/2019,1339 SEABOARD INDUSTRIAL BLVD NW,204,Underwood Hills,D,33.80763,-84.43078,
LARCENY-FROM VEHICLE,192430223,08/31/2019,46 BOULEVARD SE,604,Old Fourth Ward,M,33.75304,-84.3715,
LARCENY-FROM VEHICLE,192430387,08/31/2019,788 11TH ST NW,501,Home Park,E,33.78287,-84.41196,
LARCENY-FROM VEHICLE,192430394,08/31/2019,3202 MATHIESON DR NE,208,Buckhead Forest,B,33.84254,-84.37753,
LARCENY-FROM VEHICLE,192430411,08/31/2019,30 IVAN ALLEN JR BLVD NW,508,Downtown,M,33.76444,-84.3884,
LARCENY-FROM VEHICLE,192430458,08/31/2019,1136 CRESCENT AVE NE,503,Midtown,E,33.78575,-84.38451,
LARCENY-FROM VEHICLE,192430463,08/31/2019,270 17TH ST NW,501,Atlantic Station,E,33.79072,-84.39776,
LARCENY-FROM VEHICLE,192430471,08/31/2019,3475 LENOX RD NE,210,Lenox,B,33.84922,-84.36056,
LARCENY-FROM VEHICLE,192430666,08/31/2019,1050 DONALD L HOLLOWELL PKWY,106,Bankhead,K,33.77289,-84.42183,
LARCENY-FROM VEHICLE,192430800,08/31/2019,600 PONCE DE LEON AVE NE,614,Midtown,E,33.77376,-84.36722,
LARCENY-FROM VEHICLE,192430931,08/31/2019,1011 DELAWARE AVE SE,607,Ormewood Park,W,33.7309,-84.35451,
LARCENY-FROM VEHICLE,192430951,08/31/2019,1015 BOULEVARD,607,Grant Park,W,33.72637,-84.36901,
LARCENY-FROM VEHICLE,192431363,08/31/2019,2925 HEADLAND DR,411,Greenbriar,R,33.69094,-84.48457,
LARCENY-FROM VEHICLE,192431374,08/31/2019,1837 HOSEA L WILLIAMS DR SE,610,Kirkwood,O,33.75311,-84.32741,
LARCENY-FROM VEHICLE,192431689,08/31/2019,375 RALPH MCGILL BLVD NE,604,Old Fourth Ward,M,33.76392,-84.37506,
LARCENY-FROM VEHICLE,192432251,08/31/2019,624 8TH ST NW,504,Marietta Street Artery,E,33.77964,-84.40745,
LARCENY-FROM VEHICLE,192432281,08/31/2019,2788 DEFOORS FERRY RD NW @DEFOORS FERRY MANOR,201,,C,33.82098,-84.44692,
LARCENY-FROM VEHICLE,192432363,08/31/2019,410 14TH ST NW,501,Home Park,E,33.78589,-84.40047,
LARCENY-FROM VEHICLE,192432463,08/31/2019,112 KROG ST,604,Inman Park,N,33.75672,-84.36446,
LARCENY-FROM VEHICLE,192432597,08/31/2019,930 JUNIPER ST NE,503,Midtown,E,33.78,-84.38272,
LARCENY-FROM VEHICLE,192432656,08/31/2019,1016 HOWELL MILL RD NW,501,Home Park,E,33.78183,-84.41244,
LARCENY-FROM VEHICLE,192432899,08/31/2019,15 ALEXANDER ST NE,504,Downtown,M,33.76485,-84.38728,
LARCENY-FROM VEHICLE,192432908,08/31/2019,161 PEACHTREE CENTER AVE NE,510,Downtown,M,33.75889,-84.38596,
LARCENY-FROM VEHICLE,192430815,08/31/2019,2371 SOMEO CT NE,212,Lindridge/Martin Manor,F,33.82015,-84.34878,
LARCENY-FROM VEHICLE,192430881,08/31/2019,359 W LAKE AVE NW,107,Grove Park,J,33.76466,-84.44065,
LARCENY-FROM VEHICLE,192431332,08/31/2019,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82742,-84.36532,
LARCENY-NON VEHICLE,192431504,08/31/2019,1081 VELTRE CIR SW,406,Audobon Forest West,I,33.72537,-84.47989,
LARCENY-NON VEHICLE,192431098,08/31/2019,163 FARRINGTON AVE SE,304,Peoplestown,V,33.72684,-84.38268,
LARCENY-NON VEHICLE,192431463,08/31/2019,1989 CHESHIRE BRIDGE RD NE,613,Morningside/Lenox Park,F,33.81073,-84.35806,
LARCENY-NON VEHICLE,192431711,08/31/2019,1314 GLENWOOD AVE SE,612,East Atlanta,W,33.74035,-84.34459,
LARCENY-NON VEHICLE,192431722,08/31/2019,600 MARTIN ST,303,Summerhill,V,33.73817,-84.38376,
LARCENY-NON VEHICLE,192432013,08/31/2019,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595,
