UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-NON VEHICLE,190311809,01/31/2019,190 MARIETTA ST NW @OMNI HOTEL,507,Downtown,M,33.75757,-84.39487,
LARCENY-NON VEHICLE,190312082,01/31/2019,190 MARIETTA ST NW @OMNI HOTEL,507,Downtown,M,33.75757,-84.39487,
LARCENY-NON VEHICLE,190310679,01/31/2019,520 BOULEVARD SE,605,Grant Park,W,33.7407,-84.36764,
LARCENY-NON VEHICLE,190311390,01/31/2019,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075,
LARCENY-NON VEHICLE,190311447,01/31/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,190311507,01/31/2019,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201,
LARCENY-NON VEHICLE,190311525,01/31/2019,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921,
LARCENY-NON VEHICLE,190311541,01/31/2019,1225 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75605,-84.34813,
LARCENY-NON VEHICLE,190311620,01/31/2019,816 OAK ST SW,401,West End,T,33.74054,-84.41497,
LARCENY-NON VEHICLE,190311669,01/31/2019,3160 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68593,-84.49685,
LARCENY-FROM VEHICLE,190310328,01/31/2019,1244 HOLLY ST NW,501,Home Park,E,33.78874,-84.39602,
LARCENY-FROM VEHICLE,190310420,01/31/2019,3670 RIDGEWOOD RD NW,201,Paces,A,33.85498,-84.44081,
LARCENY-FROM VEHICLE,190310442,01/31/2019,3537 MARTIN L KING JR DR NW,111,Adamsville,H,33.75819,-84.50327,
LARCENY-FROM VEHICLE,190310590,01/31/2019,1661 LA FRANCE ST NE,609,Edgewood,O,33.76103,-84.33185,
LARCENY-FROM VEHICLE,190310598,01/31/2019,1845 PIEDMONT AVE NE,213,Morningside/Lenox Park,F,33.80646,-84.36665,
LARCENY-FROM VEHICLE,190310615,01/31/2019,2788 DEFOORS FERRY RD NW,201,,C,33.82114,-84.44713,
LARCENY-FROM VEHICLE,190310677,01/31/2019,299 HOLDERNESS ST SW,104,West End,T,33.74689,-84.42723,
LARCENY-FROM VEHICLE,190310741,01/31/2019,1870 CAMPBELLTON RD SW,408,,R,33.70939,-84.44964,
LARCENY-FROM VEHICLE,190311278,01/31/2019,275 MEMORIAL DR SE,605,Grant Park,W,33.74676,-84.37856,
LARCENY-FROM VEHICLE,190311497,01/31/2019,276 JOSEPHINE ST NE,608,Candler Park,N,33.76188,-84.34831,
LARCENY-FROM VEHICLE,190311601,01/31/2019,2801 TEE RD SW,405,Harland Terrace,I,33.75086,-84.47961,
LARCENY-FROM VEHICLE,190311648,01/31/2019,1155 LAVISTA RD NE,212,Lindridge/Martin Manor,F,33.81743,-84.351,
LARCENY-FROM VEHICLE,190311874,01/31/2019,3670 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.655,-84.50859,
LARCENY-FROM VEHICLE,190311917,01/31/2019,1142 BRIARCLIFF PL NE,601,Virginia Highland,F,33.77747,-84.34995,
LARCENY-FROM VEHICLE,190312060,01/31/2019,973 ROSEDALE RD NE,601,Virginia Highland,F,33.78118,-84.34786,
LARCENY-FROM VEHICLE,190312104,01/31/2019,2290 PEACHTREE RD NW,205,,C,33.81671,-84.39005,
LARCENY-FROM VEHICLE,190312115,01/31/2019,2809 PEACHTREE RD NE,206,Garden Hills,B,33.83157,-84.38498,
