UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,192760013,10/03/2019,685 11TH ST NW,501,Home Park,E,33.78332,-84.40974,
LARCENY-FROM VEHICLE,192760035,10/03/2019,415 MEMORIAL DR SE,605,Grant Park,W,33.74652,-84.37423,
LARCENY-FROM VEHICLE,192760052,10/03/2019,450 PIEDMONT AVE NE,509,Downtown,M,33.76598,-84.38321,
LARCENY-FROM VEHICLE,192760248,10/03/2019,145 EDGEWOOD AVE,510,Downtown,M,33.75444,-84.38231,
LARCENY-FROM VEHICLE,192760359,10/03/2019,2583 BROOKDALE DR NW,205,Peachtree Battle Alliance,C,33.82492,-84.40349,
LARCENY-FROM VEHICLE,192760484,10/03/2019,1311 FULTON INDUSTRIAL BLVD NW,114,Bankhead/Bolton,H,33.78758,-84.4977,
LARCENY-FROM VEHICLE,192760536,10/03/2019,420 MULBERRY ROW SE,312,Glenrose Heights,Z,33.66615,-84.38292,
LARCENY-FROM VEHICLE,192760704,10/03/2019,3398 PIEDMONT RD NE,208,Buckhead Forest,B,33.84712,-84.37385,
LARCENY-NON VEHICLE,192760336,10/03/2019,76 4TH ST NW,505,Midtown,E,33.77487,-84.38975,
LARCENY-NON VEHICLE,192760759,10/03/2019,1075 CENTER ST NW,501,Home Park,E,33.78411,-84.40262,
LARCENY-NON VEHICLE,192760025,10/03/2019,1806 NOBLE CREEK DR NW,204,Cross Creek,C,33.81517,-84.42542,
LARCENY-NON VEHICLE,192760419,10/03/2019,2905 3RD AVE SW,311,Hammond Park,X,33.67625,-84.40555,
AGG ASSAULT,192760227,10/03/2019,998 MCDANIEL ST SW,302,Pittsburgh,V,33.72767,-84.4014,
AGG ASSAULT,192760405,10/03/2019,100 ALABAMA ST SW,511,Downtown,M,33.75289,-84.39098,
BURGLARY-NONRES,192760485,10/03/2019,3833 PRINCETON LAKES CT SW,414,Princeton Lakes,P,33.65684,-84.51316,
BURGLARY-RESIDENCE,192750989,10/02/2019,629 OZBURN RD NW,112,Collier Heights,I,33.77232,-84.47568,
BURGLARY-RESIDENCE,192750465,10/02/2019,3390 FAIRBURN ROAD SW,414,Ben Hill,P,33.6639,-84.52377,
BURGLARY-RESIDENCE,192751415,10/02/2019,3143 HICKMAN DR NW,111,,I,33.75501,-84.4898,
AGG ASSAULT,192750052,10/02/2019,390 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70504,-84.35794,
AGG ASSAULT,192751461,10/02/2019,1576 ARCHER ST SW,104,Mozley Park,K,33.75064,-84.43902,
AGG ASSAULT,192752027,10/02/2019,1319 AKRIDGE ST NW,105,Hunter Hills,K,33.75831,-84.43107,
AGG ASSAULT,192752453,10/02/2019,1043 SPARKS ST SW,402,Oakland City,S,33.72776,-84.4218,
ROBBERY-COMMERCIAL,192750317,10/02/2019,1294 DONNELLY AVE SW,402,West End,T,33.73453,-84.43003,
LARCENY-NON VEHICLE,192750482,10/02/2019,1110 JONES AVE NW,110,Grove Park,J,33.78566,-84.4523,
AGG ASSAULT,192750180,10/02/2019,294 PENELOPE DR NW,108,Penelope Neighbors,J,33.75478,-84.4496,
AGG ASSAULT,192752261,10/02/2019,385 GARDNER ST SW,302,Pittsburgh,V,33.73076,-84.40061,
AGG ASSAULT,192752620,10/02/2019,1105 EUCLID AVE NE,602,Inman Park,N,33.76403,-84.35081,
AGG ASSAULT,192751486,10/02/2019,2130 SOUTHWOOD CV SW,412,Ben Hill Terrace,P,33.69598,-84.5183,
BURGLARY-RESIDENCE,192751292,10/02/2019,859 MCDANIEL ST SW,302,Pittsburgh,V,33.73147,-84.40193,
BURGLARY-RESIDENCE,192751343,10/02/2019,1155 LAVISTA RD NE,212,Lindridge/Martin Manor,F,33.81806,-84.35082,
BURGLARY-RESIDENCE,192752478,10/02/2019,2154 BOLLINGBROOK DR SW,406,Beecher Hills,I,33.73506,-84.45966,
BURGLARY-NONRES,192742650,10/02/2019,383 PAINES AVE NW,506,English Avenue,L,33.76511,-84.41449,
BURGLARY-NONRES,192750308,10/02/2019,3201 CAINS HILL PL NW,206,South Tuxedo Park,B,33.84192,-84.38007,
BURGLARY-NONRES,192750382,10/02/2019,122 CLEVELAND AVE,309,Browns Mill Park,Z,33.68113,-84.38502,
BURGLARY-NONRES,192750821,10/02/2019,887 HOWELL MILL RD NW,504,Marietta Street Artery,E,33.77941,-84.40971,
LARCENY-NON VEHICLE,192750203,10/02/2019,225 CENTRAL AVE SW,512,Downtown,M,33.74833,-84.39183,
LARCENY-NON VEHICLE,192750332,10/02/2019,2399 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.82003,-84.36489,
LARCENY-NON VEHICLE,192752149,10/02/2019,3125 PIEDMONT RD NE,211,Peachtree Park,B,33.84169,-84.37027,
LARCENY-NON VEHICLE,192752359,10/02/2019,57 FORSYTH ST NW @HEALEY BUILDING,508,Downtown,M,33.75611,-84.38984,
LARCENY-NON VEHICLE,192742650,10/02/2019,383 PAINES AVE NW,506,English Avenue,L,33.76511,-84.41449,
LARCENY-NON VEHICLE,192750394,10/02/2019,325 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.73724,-84.39859,
LARCENY-NON VEHICLE,192751048,10/02/2019,1240 W PEACHTREE ST NW,502,Midtown,E,33.78874,-84.38857,
LARCENY-NON VEHICLE,192751158,10/02/2019,1399 POLLARD DR SW,409,Adams Park,R,33.71786,-84.45677,
LARCENY-NON VEHICLE,192751692,10/02/2019,3260 DONALD E HOLLOWELL PKWY,114,Bankhead/Bolton,H,33.78735,-84.49452,
LARCENY-NON VEHICLE,192751755,10/02/2019,307 BASS ST SE,605,Grant Park,W,33.73459,-84.37763,
LARCENY-NON VEHICLE,192751828,10/02/2019,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921,
LARCENY-NON VEHICLE,192752222,10/02/2019,1455 ALLEGHENY ST SW,402,West End,T,33.73527,-84.43529,
LARCENY-NON VEHICLE,192752277,10/02/2019,167 STOVALL ST SE,606,Reynoldstown,N,33.74968,-84.35447,
LARCENY-NON VEHICLE,192752374,10/02/2019,450 CAPITOL AVE SE ,304,Summerhill,V,33.74229,-84.38686,
AUTO THEFT,192750002,10/02/2019,345 PHARR RD NE,206,Garden Hills,B,33.83667,-84.37666,
AUTO THEFT,192750274,10/02/2019,244 MILTON AVE SE,305,Chosewood Park,Y,33.71977,-84.38016,
