UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-NON VEHICLE,192730594,09/30/2019,50 DECATUR ST SE,510,Downtown,M,33.75346,-84.38805,
LARCENY-NON VEHICLE,192731572,09/30/2019,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82742,-84.36532,
LARCENY-NON VEHICLE,192730897,09/30/2019,387 HILL ST SE,605,Grant Park,W,33.74436,-84.37974,
LARCENY-NON VEHICLE,192731077,09/30/2019,1275 CAROLINE ST NE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,192731210,09/30/2019,1579 MONROE DR NE @ANSLEY MALL II,613,Piedmont Heights,F,33.79819,-84.36974,
LARCENY-NON VEHICLE,192731455,09/30/2019,1275 CAROLINE ST NE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,192731622,09/30/2019,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,192731906,09/30/2019,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,192731950,09/30/2019,675 PONCE DE LEON AVE NE @PONCE CITY MARKET,603,Old Fourth Ward,M,33.77296,-84.36504,
LARCENY-FROM VEHICLE,192730315,09/30/2019,5 CLEVELAND AVE SW,310,Browns Mill Park,Z,33.68128,-84.38919,
LARCENY-FROM VEHICLE,192730329,09/30/2019,618 CLIFTON RD SE,612,East Atlanta,W,33.73719,-84.32959,
LARCENY-FROM VEHICLE,192730904,09/30/2019,1903 PIEDMONT CIR NE,212,Piedmont Heights,F,33.80876,-84.3662,
LARCENY-FROM VEHICLE,192730910,09/30/2019,1165 MCDANIEL ST SW,302,Pittsburgh,V,33.72317,-84.40186,
LARCENY-FROM VEHICLE,192730956,09/30/2019,733 LAMBERT DR NE,212,Morningside/Lenox Park,F,33.81219,-84.36382,
LARCENY-FROM VEHICLE,192730959,09/30/2019,31 BAKER ST NE,509,Downtown,M,33.76214,-84.38625,
LARCENY-FROM VEHICLE,192730962,09/30/2019,650 NORTH AVE NE,603,Old Fourth Ward,M,33.77121,-84.36478,
LARCENY-FROM VEHICLE,192731029,09/30/2019,2942 MARGARET MITCHELL CT NW,201,Westminster/Milmar,C,33.8355,-84.42771,
LARCENY-FROM VEHICLE,192731031,09/30/2019,752 MIAMI CIR NE,211,Lindbergh/Morosgo,B,33.8313,-84.36292,
LARCENY-FROM VEHICLE,192731124,09/30/2019,616 DARLINGTON RD NE,211,Peachtree Park,B,33.83209,-84.36734,
LARCENY-FROM VEHICLE,192731352,09/30/2019,2711 MARCO DR NW,113,Lincoln Homes,G,33.80047,-84.47659,
LARCENY-FROM VEHICLE,192731366,09/30/2019,1455 ELLSWORTH INDUSTRIAL BLVD NW,103,Blandtown,D,33.79579,-84.42575,
LARCENY-FROM VEHICLE,192731614,09/30/2019,106 BAKER ST NE,509,Downtown,M,33.76246,-84.38386,
LARCENY-FROM VEHICLE,192731656,09/30/2019,1516 OLYMPIAN WAY SW,404,Westview,T,33.73532,-84.4374,
LARCENY-FROM VEHICLE,192731681,09/30/2019,1734 RICHLAND RD SW,404,Cascade Avenue/Road,S,33.73127,-84.44454,
LARCENY-FROM VEHICLE,192731715,09/30/2019,508 MAIN ST NE,211,Lindbergh/Morosgo,B,33.82278,-84.3701,
LARCENY-FROM VEHICLE,192731774,09/30/2019,115 W PEACHTREE PL NW,508,Downtown,M,33.7641,-84.3911,
LARCENY-FROM VEHICLE,192731914,09/30/2019,4629 WIEUCA RD NE,209,North Buckhead,B,33.87563,-84.37957,
LARCENY-FROM VEHICLE,192731966,09/30/2019,1784 PEACHTREE ST NW,207,Ardmore,E,33.80334,-84.39351,
LARCENY-FROM VEHICLE,192732023,09/30/2019,339 14TH ST NW,501,Home Park,E,33.78627,-84.39817,
LARCENY-FROM VEHICLE,192732044,09/30/2019,1025 HOWELL MILL RD NW,501,Home Park,E,33.78285,-84.41126,
LARCENY-FROM VEHICLE,192732127,09/30/2019,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
LARCENY-FROM VEHICLE,192731782,09/30/2019,803 ASHLAND AVE NE,602,Inman Park,N,33.7577,-84.36147,
LARCENY-NON VEHICLE,192730585,09/30/2019,2250 MARIETTA BLVD NW,103,Bolton,D,33.81717,-84.44766,
LARCENY-NON VEHICLE,192730967,09/30/2019,2900 LANDRUM DR SW,409,Southwest,R,33.70495,-84.48299,
LARCENY-NON VEHICLE,192731038,09/30/2019,2911 PHARR COURT SOUTH NW,206,Peachtree Heights West,B,33.83486,-84.38568,
LARCENY-NON VEHICLE,192731106,09/30/2019,2415 CAMELLIA LN NE,211,Lindbergh/Morosgo,B,33.82171,-84.37117,
LARCENY-NON VEHICLE,192731482,09/30/2019,1471 ALMONT DR SW,403,Oakland City,S,33.72553,-84.43665,
LARCENY-NON VEHICLE,192731670,09/30/2019,3427 LENOX RD NE,210,Lenox,B,33.84828,-84.36028,
LARCENY-NON VEHICLE,192731935,09/30/2019,2521 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82412,-84.36713,
ROBBERY-RESIDENCE,192730888,09/30/2019,1463 HARTFORD AVE SW,301,Capitol View,X,33.71488,-84.41736,
ROBBERY-PEDESTRIAN,192720416,09/30/2019,1411 VENETIAN DR SW,403,Oakland City,S,33.71759,-84.42745,
LARCENY-NON VEHICLE,192721142,09/30/2019,41 IRBY AVE NW,206,Buckhead Village,B,33.83907,-84.37702,
LARCENY-NON VEHICLE,192730157,09/30/2019,300 PEACHTREE ST NE,508,Downtown,M,33.76293,-84.38714,
LARCENY-NON VEHICLE,192730443,09/30/2019,3718  MARTIN L KING JR DR NW,407,Adamsville,H,33.76377,-84.50952,
LARCENY-NON VEHICLE,192730652,09/30/2019,1036 WHITE ST SW,401,West End,T,33.73149,-84.42146,
LARCENY-NON VEHICLE,192730756,09/30/2019,2874 WATERS RD SW,311,Glenrose Heights,Z,33.67651,-84.39425,
LARCENY-NON VEHICLE,192730938,09/30/2019,498 WINTON TER NE,603,Old Fourth Ward,M,33.76856,-84.37091,
LARCENY-NON VEHICLE,192731108,09/30/2019,2194 POLAR ROCK AVE SW,310,Polar Rock,Z,33.69462,-84.39568,
LARCENY-NON VEHICLE,192731112,09/30/2019,1026 COLLIER RD NW,204,Underwood Hills,D,33.80996,-84.42088,
LARCENY-NON VEHICLE,192731274,09/30/2019,75 5TH ST NW,505,Midtown,E,33.77694,-84.38963,
LARCENY-NON VEHICLE,192731383,09/30/2019,825 CLIFTON RD SE,612,East Atlanta,W,33.73178,-84.3303,
LARCENY-NON VEHICLE,192731439,09/30/2019,1021 PEEPLES ST SW,402,Oakland City,S,33.72734,-84.42299,
LARCENY-NON VEHICLE,192732005,09/30/2019,2206 BAYWOOD DR SE,310,Swallow Circle/Baywood,Z,33.69022,-84.38836,
LARCENY-NON VEHICLE,192732109,09/30/2019,3201 DOWNWOOD CIR NW,201,,C,33.84158,-84.42564,
