UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,192120411,07/31/2019,1638 CECILE AVE SE,612,East Atlanta,W,33.73424,-84.33409,
LARCENY-FROM VEHICLE,192120412,07/31/2019,178 MOURY AVE SW,305,The Villages at Carver,Y,33.71347,-84.39079,
LARCENY-FROM VEHICLE,192120477,07/31/2019,820 W MARIETTA ST NW,506,English Avenue,L,33.78045,-84.41554,
LARCENY-FROM VEHICLE,192120515,07/31/2019,1199 HUFF RD NW,103,Blandtown,D,33.78917,-84.42725,
LARCENY-FROM VEHICLE,192120623,07/31/2019,213 JOHN WESLEY DOBBS AVE NE,510,Downtown,M,33.75716,-84.38024,
LARCENY-FROM VEHICLE,192120910,07/31/2019,1334 DEKALB AVE NE,608,Candler Park,N,33.76152,-84.34389,
LARCENY-FROM VEHICLE,192121028,07/31/2019,567 PONCE DE LEON AVE NE,614,Midtown,E,33.77366,-84.36808,
LARCENY-FROM VEHICLE,192121074,07/31/2019,1212 LAVISTA CIR NE,212,Lindridge/Martin Manor,F,33.81712,-84.34924,
LARCENY-FROM VEHICLE,192121176,07/31/2019,241 DANIEL AVE SE,611,East Lake,O,33.74632,-84.29961,
LARCENY-FROM VEHICLE,192121191,07/31/2019,1225 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75605,-84.34813,
LARCENY-FROM VEHICLE,192121206,07/31/2019,1190 FOSTER ST NW,103,Blandtown,D,33.78721,-84.41453,
LARCENY-FROM VEHICLE,192121262,07/31/2019,495 MORELAND AVE SE,606,Ormewood Park,W,33.74062,-84.34966,
LARCENY-FROM VEHICLE,192121275,07/31/2019,1376 COLLIER RD NW,204,Underwood Hills,D,33.80999,-84.43296,
LARCENY-FROM VEHICLE,192121508,07/31/2019,349 DECATUR ST SE,604,Sweet Auburn,M,33.74993,-84.37706,
LARCENY-FROM VEHICLE,192121764,07/31/2019,605 BOULEVARD NE,603,Old Fourth Ward,M,33.77097,-84.3714,
LARCENY-FROM VEHICLE,192121782,07/31/2019,448 MORELAND AVE NE,602,Inman Park,N,33.76654,-84.34916,
LARCENY-FROM VEHICLE,192121886,07/31/2019,1092 HUFF RD NW,103,Blandtown,D,33.7891,-84.42417,
LARCENY-FROM VEHICLE,192121915,07/31/2019,741 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82266,-84.3643,
LARCENY-FROM VEHICLE,192121922,07/31/2019,1830 ELLSWORTH INDUSTRIAL BLVD NW,204,Underwood Hills,D,33.8056,-84.42755,
LARCENY-FROM VEHICLE,192121961,07/31/2019,1054 ASTOR AVE SW,306,Sylvan Hills,X,33.70132,-84.42306,
LARCENY-FROM VEHICLE,192121974,07/31/2019,939 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77351,-84.35663,
LARCENY-FROM VEHICLE,192122071,07/31/2019,1016 HOWELL MILL RD NW,501,Home Park,E,33.78183,-84.41244,
LARCENY-FROM VEHICLE,192122241,07/31/2019,2537 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82403,-84.36328,
LARCENY-FROM VEHICLE,192122314,07/31/2019,132 10TH ST NE,503,Midtown,E,33.78222,-84.3829,
LARCENY-FROM VEHICLE,192122430,07/31/2019,1600 ELLSWORTH INDUSTRIAL BLVD NW,103,Blandtown,D,33.79826,-84.42811,
LARCENY-FROM VEHICLE,192122459,07/31/2019,60 WALTON ST NW,508,Downtown,M,33.75615,-84.39066,
LARCENY-FROM VEHICLE,192122462,07/31/2019,103 W PACES FERRY RD NW,206,South Tuxedo Park,B,33.84149,-84.38368,
LARCENY-FROM VEHICLE,192122486,07/31/2019,3160 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68593,-84.49685,
LARCENY-FROM VEHICLE,192122522,07/31/2019,3550 CAMPBELLTON RD SW,413,,P,33.68984,-84.50491,
LARCENY-FROM VEHICLE,192122536,07/31/2019,3580 CAMPBELLTON RD SW,413,,P,33.6899,-84.50584,
LARCENY-FROM VEHICLE,192122586,07/31/2019,2809 PEACHTREE RD NE,206,Garden Hills,B,33.83157,-84.38498,
LARCENY-FROM VEHICLE,192122587,07/31/2019,2143 PEACHTREE RD NE,207,,E,33.81262,-84.39195,
LARCENY-FROM VEHICLE,192122591,07/31/2019,794 JUNIPER ST NE,505,Midtown,E,33.7762,-84.38319,
LARCENY-NON VEHICLE,192121112,07/31/2019,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68677,-84.49773,
LARCENY-NON VEHICLE,192121140,07/31/2019,1217 METROPOLITAN PKWY SW,301,Adair Park,V,33.72174,-84.40839,
LARCENY-NON VEHICLE,192121283,07/31/2019,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201,
LARCENY-NON VEHICLE,192121411,07/31/2019,180 PONCE DE LEON AVE NE,505,Midtown,E,33.77285,-84.38149,
LARCENY-NON VEHICLE,192121450,07/31/2019,12 BROAD ST SW @ CVS PHARMACY,511,Downtown,M,33.7532,-84.39201,
LARCENY-NON VEHICLE,192121555,07/31/2019,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
LARCENY-NON VEHICLE,192121570,07/31/2019,3599 MARTIN L KING JR DR NW,111,Adamsville,H,33.75933,-84.50433,
LARCENY-NON VEHICLE,192121958,07/31/2019,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
