UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-NON VEHICLE,190900580,03/31/2019,2255 LENOX RD NE,613,Lindridge/Martin Manor,F,33.81631,-84.35188,
LARCENY-NON VEHICLE,190901433,03/31/2019,232 FORSYTH ST SW @GREYHOUND BUS DEPOT,512,Downtown,M,33.74852,-84.39636,
LARCENY-NON VEHICLE,190900885,03/31/2019,950 WEST PEACHTREE ST NW ,503,Midtown,E,33.78014,-84.38747,
LARCENY-NON VEHICLE,190900912,03/31/2019,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201,
LARCENY-NON VEHICLE,190901131,03/31/2019,12 BROAD ST SW,511,Downtown,M,33.7532,-84.39201,
LARCENY-NON VEHICLE,190901169,03/31/2019,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,190901222,03/31/2019,1544 PIEDMONT AVE NE,613,Piedmont Heights,F,33.79668,-84.36951,
LARCENY-NON VEHICLE,190901307,03/31/2019,1141 EUCLID AVE NE,602,Inman Park,N,33.76467,-84.34999,
LARCENY-NON VEHICLE,190901514,03/31/2019,50 UPPER ALABAMA ST SW,511,Downtown,M,33.75194,-84.38964,
LARCENY-NON VEHICLE,190901588,03/31/2019,50 UPPER ALABAMA ST SW,511,Downtown,M,33.75194,-84.38964,
LARCENY-NON VEHICLE,190901620,03/31/2019,2690 METROPOLITAN PKWY SW,309,Perkerson,X,33.68169,-84.40737,
LARCENY-NON VEHICLE,190900148,03/31/2019,364 HILL ST SE,605,Grant Park,W,33.74475,-84.37895,
LARCENY-FROM VEHICLE,190900046,03/31/2019,795 POLLARD BLVD SW,304,Summerhill,V,33.73328,-84.391,
LARCENY-FROM VEHICLE,190900539,03/31/2019,396 BROWNLEE RD SW,406,,I,33.746,-84.49751,
LARCENY-FROM VEHICLE,190901109,03/31/2019,1024 SMITH ST SW,302,Pittsburgh,V,33.72677,-84.40058,
LARCENY-NON VEHICLE,190900826,03/31/2019,2017 AKRON DR SE,308,Thomasville Heights,Z,33.69801,-84.35156,
LARCENY-NON VEHICLE,190901487,03/31/2019,787 CASCADE AVE SW,404,Westview,T,33.73384,-84.43758,
LARCENY-NON VEHICLE,190900982,03/31/2019,1959 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.7008,-84.41018,
LARCENY-NON VEHICLE,190901009,03/31/2019,1662 SYLVAN RD SW,306,Sylvan Hills,X,33.70946,-84.41792,
LARCENY-NON VEHICLE,190901116,03/31/2019,1150 ASTOR AVE SW,306,Sylvan Hills,X,33.70137,-84.42678,
LARCENY-NON VEHICLE,190901261,03/31/2019,862 MARTIN L KING JR DR SW,101,Atlanta University Center,T,33.75462,-84.41596,
LARCENY-FROM VEHICLE,190892279,03/31/2019,1738 MACARTHUR BLVD NW,103,Bolton,D,33.81326,-84.4448,
LARCENY-FROM VEHICLE,190900077,03/31/2019,455 14TH ST NW,501,Home Park,E,33.78629,-84.40208,
LARCENY-FROM VEHICLE,190900090,03/31/2019,46 WALL ST SE,511,Downtown,M,33.75312,-84.38876,
LARCENY-FROM VEHICLE,190900119,03/31/2019,3312 PIEDMONT RD NE,208,Buckhead Forest,B,33.84477,-84.37258,
LARCENY-FROM VEHICLE,190900212,03/31/2019,1644 WOODLAND AVE SE,607,Custer/McDonough/Guice,W,33.70929,-84.35228,
LARCENY-FROM VEHICLE,190900231,03/31/2019,458 LOVEJOY ST NW,504,Downtown,M,33.76663,-84.39304,
LARCENY-FROM VEHICLE,190900438,03/31/2019,92 HOWELL DR SW,407,Adamsville,H,33.75572,-84.50315,
LARCENY-FROM VEHICLE,190900544,03/31/2019,1289 HARTFORD AVE SW,301,Capitol View,X,33.7197,-84.41709,
LARCENY-FROM VEHICLE,190900684,03/31/2019,570 SPRING ST NW,509,Downtown,M,33.77028,-84.38939,
LARCENY-FROM VEHICLE,190900732,03/31/2019,300 CAIN ST NE,604,Sweet Auburn,M,33.75962,-84.37397,
LARCENY-FROM VEHICLE,190900800,03/31/2019,4051 SOUTHWOOD CIR SW,412,Ben Hill Terrace,P,33.69627,-84.52076,
LARCENY-FROM VEHICLE,190900827,03/31/2019,3521 PARC CIR SW,409,Southwest,R,33.69868,-84.49783,
LARCENY-FROM VEHICLE,190901632,03/31/2019,592 WOODWARD AVE SE,606,Grant Park,W,33.74548,-84.36812,
LARCENY-FROM VEHICLE,190901760,03/31/2019,320 N HIGHLAND AVE NE,602,Inman Park,N,33.76343,-84.35774,
LARCENY-FROM VEHICLE,190901809,03/31/2019,99 KROG ST NE,602,Inman Park,N,33.75667,-84.3639,
ROBBERY-PEDESTRIAN,190901581,03/31/2019,689 CASCADE AVE SW,404,Westview,T,33.73636,-84.4368,
LARCENY-NON VEHICLE,190901091,03/31/2019,2370 METROPOLITAN PKWY SW,309,Perkerson,X,33.69014,-84.40807,
LARCENY-NON VEHICLE,190901112,03/31/2019,1192 PRYOR ST SW,304,Peoplestown,V,33.72287,-84.3928,
LARCENY-NON VEHICLE,190901365,03/31/2019,1541 PONTIAC PL SE,607,Custer/McDonough/Guice,W,33.71266,-84.35705,
LARCENY-NON VEHICLE,190901993,03/31/2019,3833 PRINCETON LAKES CT SW,414,Princeton Lakes,P,33.65738,-84.51309,
AUTO THEFT,190900205,03/31/2019,1375 EPWORTH ST SW,403,Venetian Hills,S,33.71744,-84.43098,
AUTO THEFT,190900360,03/31/2019,349 EDGEWOOD AVE SE,604,Sweet Auburn,M,33.75419,-84.37615,
AUTO THEFT,190900386,03/31/2019,1544 PIEDMONT AVE SE,613,Piedmont Heights,F,33.79789,-84.37101,
AUTO THEFT,190900643,03/31/2019,3376 Peachtree Rd Ne,208,North Buckhead,B,33.84934,-84.3664,
AUTO THEFT,190900810,03/31/2019,1928 FORT VALLEY DR SW,410,Pomona Park,R,33.70261,-84.44975,
AUTO THEFT,190901001,03/31/2019,1868 JOSEPH E BOONE BLVD NW,108,Dixie Hills,J,33.76352,-84.44808,
AUTO THEFT,190901029,03/31/2019,560 AMSTERDAM AVE NE,613,Morningside/Lenox Park,F,33.78858,-84.36875,
AUTO THEFT,190901033,03/31/2019,2124 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.81307,-84.35424,
AUTO THEFT,190901145,03/31/2019,HUMPHRIES ST SW / CRUMLEY ST SW,303,Mechanicsville,V,33.73903,-84.40456,
AUTO THEFT,190901263,03/31/2019,945 HALL PL NW,106,Knight Park/Howell Station,K,33.78073,-84.42808,
ROBBERY-RESIDENCE,190900373,03/31/2019,1956 CONRAD AVE SE,307,Lakewood Heights,Y,33.70069,-84.38132,
HOMICIDE,190882536,03/31/2019,605 BOULEVARD NE,603,Old Fourth Ward,M,33.77097,-84.3714,
ROBBERY-PEDESTRIAN,190901253,03/31/2019,480 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70558,-84.3596,
AGG ASSAULT,190900370,03/31/2019,3041 LANDRUM DR SW,409,Southwest,R,33.70649,-84.48782,
AGG ASSAULT,190900075,03/31/2019,3057 PHARR COURT NORTH NW,206,Peachtree Heights West,B,33.83837,-84.38313,
