UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
BURGLARY-NONRES,191510346,05/31/2019,222 TUSKEGEE ST SE,304,Peoplestown,V,33.72865,-84.38042,
LARCENY-NON VEHICLE,191511152,05/31/2019,655 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76094,-84.36599,
LARCENY-NON VEHICLE,191511212,05/31/2019,834 HANK AARON DR SE,304,Summerhill,V,33.73206,-84.38764,
LARCENY-FROM VEHICLE,191510002,05/31/2019,ETHEL ST NW / TUMLIN ST NW,501,Home Park,E,33.7845,-84.40061,
LARCENY-FROM VEHICLE,191510007,05/31/2019,3340 PEACHTREE RD NE,208,North Buckhead,B,33.84743,-84.37089,
LARCENY-FROM VEHICLE,191510085,05/31/2019,333 W PEACHTREE ST NE,508,Downtown,M,33.76376,-84.38742,
LARCENY-FROM VEHICLE,191510516,05/31/2019,2707 DONALD LEE HOLLOWELL PKWY NW,113,Brookview Heights,G,33.77774,-84.47583,
LARCENY-FROM VEHICLE,191510539,05/31/2019,193 MOURY AVE SW,305,The Villages at Carver,Y,33.71549,-84.39197,
LARCENY-FROM VEHICLE,191510677,05/31/2019,3123 ELEANOR TER NW,112,Collier Heights,I,33.77746,-84.4887,
LARCENY-FROM VEHICLE,191511106,05/31/2019,768 MARIETTA ST NW,504,Marietta Street Artery,E,33.77358,-84.40496,
LARCENY-FROM VEHICLE,191511184,05/31/2019,3030 HEADLAND DR SW,411,Greenbriar,R,33.68841,-84.48742,
LARCENY-FROM VEHICLE,191511294,05/31/2019,1130 PEACHTREE STREET NE,503,Downtown,M,33.75595,-84.38601,
LARCENY-FROM VEHICLE,191511304,05/31/2019,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68845,-84.49328,
LARCENY-FROM VEHICLE,191511321,05/31/2019,3599 MARTIN L KING JR DR NW,111,Adamsville,H,33.75933,-84.50433,
LARCENY-FROM VEHICLE,191511342,05/31/2019,180 WALKER ST SW,507,Castleberry Hill,M,33.74964,-84.40132,
LARCENY-FROM VEHICLE,191511506,05/31/2019,42 FORSYTH ST NW,508,Downtown,M,33.75584,-84.39062,
LARCENY-FROM VEHICLE,191511679,05/31/2019,200 PEACHTREE ST NW,508,Downtown,M,33.75889,-84.38806,
LARCENY-FROM VEHICLE,191511744,05/31/2019,580 10 TH ST,502,,E,33.78185,-84.36928,
