UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-FROM VEHICLE,191810007,06/30/2019,4499 GARMON RD NW,202,Mt. Paran/Northside,A,33.87808,-84.42308,
LARCENY-FROM VEHICLE,191810027,06/30/2019,154 KROG ST NE,602,Inman Park,N,33.75824,-84.36396,
LARCENY-FROM VEHICLE,191810233,06/30/2019,1436 HILLPINE LN NE,613,Morningside/Lenox Park,F,33.79408,-84.36195,
LARCENY-FROM VEHICLE,191810237,06/30/2019,285 MARIETTA ST NW,508,Downtown,M,33.76097,-84.3951,
LARCENY-FROM VEHICLE,191810297,06/30/2019,370 NORTHSIDE DR NW,506,English Avenue,L,33.76527,-84.40498,
LARCENY-FROM VEHICLE,191810299,06/30/2019,110 E ANDREWS DR NW @CATES CENTER SHOPPI,206,South Tuxedo Park,B,33.84331,-84.38263,
LARCENY-FROM VEHICLE,191810355,06/30/2019,446 HOLDERNESS ST SW,401,West End,T,33.74289,-84.42686,
LARCENY-FROM VEHICLE,191810366,06/30/2019,330 W PEACHTREE ST NW @SQUIRE INN MOTEL DT,508,Downtown,M,33.76364,-84.38791,
LARCENY-FROM VEHICLE,191810397,06/30/2019,1049 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77315,-84.35304,
LARCENY-FROM VEHICLE,191810504,06/30/2019,275 MEMORIAL DR SE,605,Grant Park,W,33.74676,-84.37856,
LARCENY-FROM VEHICLE,191810547,06/30/2019,190 HUTCHINSON ST NE,609,Edgewood,O,33.75887,-84.34091,
LARCENY-FROM VEHICLE,191810580,06/30/2019,1935 ALISON CT SW,410,Fort Valley,R,33.70055,-84.45149,
LARCENY-FROM VEHICLE,191810588,06/30/2019,87 CONE ST NW,508,Downtown,M,33.75698,-84.39136,
LARCENY-FROM VEHICLE,191810611,06/30/2019,406 LOVEJOY ST NW,504,Downtown,M,33.76556,-84.39316,
LARCENY-FROM VEHICLE,191810632,06/30/2019,1684 DERRY AVE SW,404,Westview,T,33.74328,-84.44285,
LARCENY-FROM VEHICLE,191810806,06/30/2019,1132 TECHWOOD DR NW @COURTYARD BY MARRIOT,501,Home Park,E,33.7855,-84.39273,
LARCENY-FROM VEHICLE,191810820,06/30/2019,999 GREENWOOD AVE NE,601,Virginia Highland,F,33.77661,-84.35445,
LARCENY-FROM VEHICLE,191810916,06/30/2019,499 NORTHSIDE CIR NW,207,Loring Heights,E,33.79742,-84.40671,
LARCENY-FROM VEHICLE,191810969,06/30/2019,1176 CHATTAHOOCHEE AVE NW,103,Blandtown,D,33.80058,-84.42561,
LARCENY-FROM VEHICLE,191811164,06/30/2019,655 GREEN ST NW,207,Berkeley Park,D,33.79299,-84.40941,
LARCENY-FROM VEHICLE,191811207,06/30/2019,3804 PEACHTREE PARK DR NE,207,Wildwood (NPU-C),C,33.80701,-84.41444,
LARCENY-FROM VEHICLE,191811311,06/30/2019,930 HOWELL MILL RD NW,501,Home Park,E,33.77987,-84.41063,
LARCENY-FROM VEHICLE,191811511,06/30/2019,3670 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.655,-84.50859,
LARCENY-FROM VEHICLE,191811605,06/30/2019,3500 PEACHTREE RD NE @SAKS FIFTH AVENUE,208,North Buckhead,B,33.85302,-84.36278,
LARCENY-FROM VEHICLE,191811607,06/30/2019,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.68845,-84.49328,
LARCENY-FROM VEHICLE,191811917,06/30/2019,3000 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68077,-84.4937,
LARCENY-FROM VEHICLE,191812015,06/30/2019,2685 METROPOLITAN PKWY SW ,311,Perkerson,X,33.68274,-84.40902,
LARCENY-FROM VEHICLE,191812088,06/30/2019,492 LARKIN ST SW,507,Castleberry Hill,M,33.7476,-84.4037,
LARCENY-FROM VEHICLE,191812117,06/30/2019,235 PETERS ST SW,507,Castleberry Hill,M,33.74844,-84.40102,
LARCENY-NON VEHICLE,191811229,06/30/2019,2178 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70514,-84.45947,
LARCENY-NON VEHICLE,191811620,06/30/2019,595 PIEDMONT AVE NE @PUBLIX - PIEDMONT,603,Old Fourth Ward,M,33.77067,-84.38023,
LARCENY-NON VEHICLE,191810011,06/30/2019,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299,
LARCENY-NON VEHICLE,191810797,06/30/2019,325 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.73724,-84.39859,
LARCENY-NON VEHICLE,191810998,06/30/2019,585 MCDANIEL ST SW,303,Mechanicsville,V,33.73896,-84.40206,
LARCENY-NON VEHICLE,191811000,06/30/2019,3282 VICTORIA PARK SW,414,Princeton Lakes,P,33.6612,-84.51655,
LARCENY-NON VEHICLE,191811285,06/30/2019,32 MAYSON AVE NE,609,Edgewood,O,33.75435,-84.33882,
