UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-NON VEHICLE,190590497,02/28/2019,850 OAK ST,401,West End,T,33.74057,-84.4168,
LARCENY-NON VEHICLE,190590843,02/28/2019,2001 JAMES JACKSON PKWY NW,203,Riverside,D,33.81063,-84.47569,
LARCENY-NON VEHICLE,190590935,02/28/2019,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902,
LARCENY-NON VEHICLE,190592113,02/28/2019,2001 JAMES JACKSON PKWY,203,Riverside,D,33.81063,-84.47569,
LARCENY-NON VEHICLE,190592200,02/28/2019,3599 MARTIN L KING JR,110,Adamsville,H,33.75933,-84.50433,
LARCENY-NON VEHICLE,190592436,02/28/2019,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-FROM VEHICLE,190590601,02/28/2019,2020 STANFIELD AVE NW,110,West Highlands,G,33.79703,-84.45292,
LARCENY-FROM VEHICLE,190591199,02/28/2019,836 MITCHELL ST SW,101,Atlanta University Center,T,33.75327,-84.41491,
LARCENY-FROM VEHICLE,190591671,02/28/2019,61 NORTH AVE NW @THE VARSITY,505,Midtown,E,33.77133,-84.38942,
LARCENY-FROM VEHICLE,190592074,02/28/2019,1071 PIEDMONT AVE NE,502,Midtown,E,33.78385,-84.37868,
LARCENY-FROM VEHICLE,190592191,02/28/2019,1023 HEMPHILL AVE NW,501,Home Park,E,33.78273,-84.40462,
LARCENY-FROM VEHICLE,190592276,02/28/2019,3714 ROSWELL RD NE,209,East Chastain Park,B,33.85821,-84.3827,
LARCENY-FROM VEHICLE,190592340,02/28/2019,339 14TH ST NW,501,Home Park,E,33.78627,-84.39817,
LARCENY-FROM VEHICLE,190592493,02/28/2019,500 10TH ST NE @BELTLINE BUSINESS,502,,E,33.78223,-84.36922,
LARCENY-FROM VEHICLE,190591584,02/28/2019,563 TRABERT AVE NW,207,Loring Heights,E,33.79484,-84.40653,
LARCENY-NON VEHICLE,190591145,02/28/2019,2250 BEECHER RD SW,406,Beecher Hills,I,33.72827,-84.46166,
LARCENY-NON VEHICLE,190590960,02/28/2019,2905 SPRINGDALE RD SW,311,Hammond Park,X,33.67597,-84.41601,
LARCENY-NON VEHICLE,190591359,02/28/2019,75 JOHN PORTMAN BLVD NE,509,Downtown,M,33.7606,-84.38502,
LARCENY-NON VEHICLE,190591466,02/28/2019,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82678,-84.36699,
LARCENY-NON VEHICLE,190591580,02/28/2019,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409,
LARCENY-NON VEHICLE,190591696,02/28/2019,60 12TH ST NE,503,Midtown,E,33.78483,-84.3857,
LARCENY-NON VEHICLE,190592318,02/28/2019,5316 ARBOR GATES DR NE,210,Pine Hills,B,33.82617,-84.35846,
