,Occur Time,UCR Literal_AGG ASSAULT,UCR Literal_AUTO THEFT,UCR Literal_BURGLARY-NONRES,UCR Literal_BURGLARY-RESIDENCE,UCR Literal_HOMICIDE,UCR Literal_LARCENY-FROM VEHICLE,UCR Literal_LARCENY-NON VEHICLE,UCR Literal_MANSLAUGHTER,UCR Literal_ROBBERY-COMMERCIAL,UCR Literal_ROBBERY-PEDESTRIAN,UCR Literal_ROBBERY-RESIDENCE
102,2019040600,0,0,0,0,0,3,0,0,0,0,0
103,2019040700,1,0,0,0,0,0,0,0,0,0,0
104,2019040800,0,0,0,0,0,1,0,0,0,0,0
105,2019040900,0,0,0,0,0,1,1,0,1,0,0
106,2019041000,0,0,0,0,0,2,2,0,1,0,0
107,2019041100,1,0,0,0,0,2,0,0,0,0,0
108,2019041200,0,0,0,0,0,3,0,0,0,0,0
109,2019041300,0,0,0,0,0,1,0,0,0,0,0
110,2019041400,0,0,0,1,0,0,1,0,0,1,0
111,2019041500,0,0,0,1,0,1,0,0,0,0,0
112,2019041600,0,0,0,0,0,1,0,0,0,0,0
113,2019041700,0,0,0,0,0,2,0,0,0,0,0
114,2019041900,0,0,0,0,0,2,0,0,1,0,0
115,2019042000,0,0,0,0,0,2,2,0,0,0,0
116,2019042100,0,0,0,0,0,2,0,0,0,0,0
117,2019042200,0,0,0,0,0,1,0,0,0,0,0
118,2019042300,0,2,0,0,0,2,2,0,0,1,0
119,2019042400,0,0,0,0,0,0,1,0,0,0,0
120,2019042500,0,2,0,0,0,0,1,0,0,0,0
121,2019042600,0,0,0,1,0,2,1,0,0,0,0
122,2019042700,0,1,0,0,0,3,1,0,0,0,0
123,2019042800,0,1,0,0,1,2,1,0,1,0,0
124,2019043000,0,1,0,0,0,3,3,0,0,0,0
125,2019050100,0,0,0,0,0,3,1,0,0,0,0
126,2019050200,0,0,0,0,0,2,0,0,0,0,0
127,2019050300,0,0,0,0,0,2,1,0,0,0,0
128,2019050400,0,1,0,0,0,6,0,0,0,0,0
129,2019050500,0,2,0,0,0,3,1,0,0,0,0
130,2019050600,0,0,0,0,0,1,2,0,0,0,0
131,2019050700,0,1,1,0,0,1,0,0,0,0,0
132,2019050800,0,0,0,0,0,3,2,0,0,0,0
133,2019050900,0,1,0,0,0,3,0,0,0,0,0
134,2019051000,0,0,0,0,0,2,1,0,0,0,0
135,2019051100,1,0,0,0,0,4,0,0,0,0,0
136,2019051200,0,0,0,0,0,1,3,0,0,0,0
137,2019051300,1,0,0,0,0,7,1,0,0,1,0
138,2019051400,0,1,0,0,0,3,3,0,0,0,0
139,2019051500,1,0,0,0,0,0,3,0,0,0,0
140,2019051600,0,3,0,0,0,3,0,0,0,0,0
141,2019051700,2,1,0,0,0,4,2,0,0,0,0
142,2019051800,0,0,0,0,0,2,0,0,0,0,0
143,2019051900,1,0,0,0,0,9,2,0,0,0,0
144,2019052000,0,1,0,1,0,0,2,0,0,0,0
145,2019052100,0,0,0,0,0,2,1,0,0,0,0
146,2019052200,0,0,0,1,0,3,1,0,0,0,0
147,2019052300,0,1,0,0,0,1,3,0,0,0,0
148,2019052400,2,0,0,0,0,3,1,0,0,1,0
149,2019052500,0,1,0,0,0,1,3,0,0,0,0
150,2019052600,1,0,0,0,0,3,0,0,0,0,0
151,2019052700,0,1,0,0,0,4,0,0,0,0,0
152,2019052800,0,0,0,1,0,1,2,0,0,0,0
153,2019052900,0,0,0,0,0,3,0,0,0,0,0
154,2019053000,0,0,0,0,0,3,2,0,0,0,0
155,2019053100,1,1,0,0,0,1,2,0,0,0,0
156,2019060100,0,1,0,0,0,4,0,0,0,0,0
157,2019060200,1,0,0,1,0,2,0,0,0,0,0
158,2019060300,0,2,0,1,0,3,0,0,0,0,0
159,2019060400,0,0,0,0,0,1,1,0,0,0,0
160,2019060500,0,0,0,1,0,2,0,0,0,0,0
161,2019060600,0,0,0,0,0,3,1,0,0,0,0
162,2019060700,0,1,0,0,0,4,1,0,0,0,0
163,2019060800,0,0,0,0,0,1,2,0,0,0,0
164,2019060900,0,2,0,0,0,4,2,0,0,1,0
165,2019061000,0,0,0,0,0,3,1,0,0,0,0
166,2019061100,0,0,0,0,0,0,2,0,0,0,0
167,2019061200,0,1,0,2,0,3,2,0,0,0,0
168,2019061300,0,1,1,0,0,3,5,0,0,0,0
169,2019061400,0,0,0,0,0,2,0,0,0,0,0
170,2019061500,0,2,0,0,0,2,2,0,0,0,0
171,2019061600,0,2,0,0,0,6,1,0,0,1,0
172,2019061700,0,1,0,0,0,2,2,0,0,1,0
173,2019061800,1,0,0,0,0,1,2,0,0,0,0
174,2019061900,0,1,0,0,0,2,2,0,1,0,1
175,2019062000,0,0,0,0,0,3,0,0,0,0,0
176,2019062100,0,0,0,0,0,4,4,0,0,0,0
177,2019062200,0,2,0,0,0,2,0,0,0,0,0
178,2019062300,0,0,0,0,0,5,2,0,0,0,0
179,2019062400,0,0,0,0,0,2,2,0,0,0,0
180,2019062500,0,0,0,0,0,0,1,0,0,1,0
181,2019062600,0,0,0,0,1,10,2,0,0,0,0
182,2019062700,0,0,0,0,0,1,0,0,0,0,0
183,2019062800,0,1,0,0,0,1,0,0,0,0,0
184,2019062900,0,0,0,0,0,1,1,0,0,0,0
185,2019063000,1,1,0,0,0,0,1,0,0,0,0
186,2019070100,1,1,0,1,0,1,5,0,0,0,1
187,2019070200,0,0,0,0,0,1,2,0,0,0,0
188,2019070300,0,2,0,0,0,4,1,0,0,0,0
189,2019070400,0,1,0,0,0,3,2,0,0,0,0
190,2019070500,0,0,0,0,0,4,0,0,0,0,0
191,2019070600,0,1,0,0,0,2,2,0,0,0,0
192,2019070700,0,3,0,0,0,6,2,0,0,0,0
193,2019070800,0,2,0,0,0,3,1,0,0,0,0
194,2019070900,0,2,0,0,0,1,0,0,0,0,0
195,2019071000,0,1,1,0,0,3,1,0,0,0,0
196,2019071100,0,2,1,0,0,3,0,0,0,0,0
197,2019071200,0,1,1,0,0,4,0,0,0,0,0
198,2019071300,0,2,0,0,0,1,4,0,0,0,0
199,2019071400,0,0,0,0,0,5,2,0,0,0,0
200,2019071500,0,0,0,2,0,2,2,0,0,0,0
201,2019071600,0,1,0,1,0,3,1,0,0,0,0
202,2019071700,1,0,0,0,0,2,2,0,0,0,0
203,2019071800,3,0,0,0,0,1,0,0,0,0,0
204,2019071900,0,2,0,0,0,1,1,0,0,0,0
205,2019072000,0,0,0,0,0,5,1,0,0,0,0
206,2019072100,0,0,0,0,0,0,1,0,0,0,0
207,2019072200,0,1,0,0,0,4,0,0,0,1,1
208,2019072300,1,0,0,0,0,0,0,0,0,1,0
209,2019072400,0,0,0,0,0,1,1,0,0,0,0
210,2019072500,0,0,0,0,0,1,0,0,0,0,0
211,2019072600,1,1,0,0,0,4,2,0,0,0,0
212,2019072700,0,0,0,0,0,4,1,0,0,0,0
213,2019072800,0,1,0,0,0,7,1,0,0,0,0
214,2019072900,0,1,0,0,0,4,2,0,0,0,0
215,2019073000,0,0,0,0,0,2,2,0,0,0,0
216,2019073100,0,0,0,0,0,4,2,0,0,0,0
217,2019080100,0,0,0,1,0,3,1,0,0,0,0
218,2019080200,0,0,0,1,0,1,0,0,0,0,0
219,2019080300,0,1,0,0,0,4,2,0,0,0,0
220,2019080400,1,0,0,0,0,1,0,0,0,0,0
221,2019080500,0,1,0,0,0,4,2,0,0,1,0
222,2019080600,0,1,0,0,0,2,1,0,0,0,0
223,2019080700,0,0,0,1,0,4,1,0,0,0,0
224,2019080800,0,0,0,0,0,5,1,0,0,0,0
225,2019080900,0,0,0,0,0,4,1,0,0,0,0
226,2019081000,0,0,0,0,0,2,2,0,0,0,0
227,2019081100,1,0,0,0,0,0,2,0,0,0,0
228,2019081200,0,1,0,0,0,3,0,0,0,0,0
229,2019081300,0,2,0,0,0,2,2,0,0,0,0
230,2019081400,0,0,0,0,0,1,2,0,0,0,0
231,2019081500,0,0,0,0,0,2,0,0,0,0,0
232,2019081600,0,0,0,1,0,3,4,0,0,0,0
233,2019081700,0,0,0,0,0,3,1,0,0,0,0
234,2019081800,1,0,0,0,0,0,4,0,0,0,0
235,2019081900,0,1,0,0,0,0,0,0,0,0,0
236,2019082000,0,0,0,1,0,0,1,0,0,0,0
237,2019082100,0,1,0,1,0,3,0,0,0,0,0
238,2019082200,0,0,0,0,0,1,1,0,0,0,0
239,2019082300,0,0,0,0,0,3,1,0,0,0,0
240,2019082400,0,1,0,0,0,4,3,0,0,0,0
241,2019082500,0,1,0,0,0,2,0,0,0,0,0
242,2019082600,0,0,0,0,0,6,1,0,0,0,0
243,2019082700,0,0,0,0,0,2,1,0,0,0,0
244,2019082800,0,2,0,1,0,4,1,0,0,0,0
