
Exp 1
2019-11-01 02:13:29.143382
6 | Test | rrse: 0.7796 | corr: 0.1351 | approx epoch time: 0.99s
7 | Test | rrse: 0.7530 | corr: 0.1982 | approx epoch time: 1.02s
8 | Test | rrse: 0.7096 | corr: 0.2316 | approx epoch time: 0.89s
9 | Test | rrse: 0.6646 | corr: 0.2725 | approx epoch time: 0.86s
10 | Test | rrse: 0.6133 | corr: 0.3552 | approx epoch time: 1.01s
11 | Test | rrse: 0.5581 | corr: 0.4425 | approx epoch time: 0.95s
12 | Test | rrse: 0.4902 | corr: 0.5192 | approx epoch time: 1.07s
13 | Test | rrse: 0.4568 | corr: 0.5536 | approx epoch time: 1.02s
14 | Test | rrse: 0.4262 | corr: 0.6459 | approx epoch time: 1.03s
15 | Test | rrse: 0.4075 | corr: 0.6125 | approx epoch time: 0.98s
16 | Test | rrse: 0.3565 | corr: 0.6272 | approx epoch time: 1.03s
17 | Test | rrse: 0.3396 | corr: 0.6361 | approx epoch time: 1.00s
18 | Test | rrse: 0.3491 | corr: 0.6093 | approx epoch time: 1.08s
19 | Test | rrse: 0.3131 | corr: 0.6361 | approx epoch time: 1.07s
20 | Test | rrse: 0.3181 | corr: 0.5884 | approx epoch time: 1.00s
23 | Test | rrse: 0.2828 | corr: 0.5792 | approx epoch time: 0.86s
25 | Test | rrse: 0.2691 | corr: 0.5417 | approx epoch time: 1.04s
29 | Test | rrse: 0.2437 | corr: 0.5170 | approx epoch time: 1.06s
39 | Test | rrse: 0.2027 | corr: 0.5900 | approx epoch time: 0.97s
43 | Test | rrse: 0.2068 | corr: 0.6734 | approx epoch time: 1.01s
44 | Test | rrse: 0.1892 | corr: 0.6351 | approx epoch time: 0.95s
45 | Test | rrse: 0.1951 | corr: 0.6812 | approx epoch time: 1.08s
46 | Test | rrse: 0.1785 | corr: 0.6962 | approx epoch time: 1.10s
48 | Test | rrse: 0.1709 | corr: 0.6575 | approx epoch time: 0.98s
49 | Test | rrse: 0.1468 | corr: 0.7025 | approx epoch time: 1.00s
50 | Test | rrse: 0.1420 | corr: 0.7342 | approx epoch time: 0.87s
54 | Test | rrse: 0.1500 | corr: 0.7593 | approx epoch time: 1.00s
56 | Test | rrse: 0.1491 | corr: 0.7828 | approx epoch time: 0.98s
57 | Test | rrse: 0.1406 | corr: 0.7832 | approx epoch time: 0.95s
58 | Test | rrse: 0.1208 | corr: 0.7885 | approx epoch time: 1.00s
60 | Test | rrse: 0.1254 | corr: 0.7954 | approx epoch time: 1.07s
61 | Test | rrse: 0.1276 | corr: 0.8297 | approx epoch time: 1.07s
63 | Test | rrse: 0.1064 | corr: 0.8404 | approx epoch time: 0.97s
65 | Test | rrse: 0.1167 | corr: 0.8454 | approx epoch time: 1.13s
66 | Test | rrse: 0.1114 | corr: 0.8505 | approx epoch time: 1.01s
67 | Test | rrse: 0.1104 | corr: 0.8456 | approx epoch time: 0.94s
68 | Test | rrse: 0.1020 | corr: 0.8574 | approx epoch time: 0.98s
69 | Test | rrse: 0.1034 | corr: 0.8516 | approx epoch time: 0.99s
70 | Test | rrse: 0.0978 | corr: 0.8640 | approx epoch time: 0.92s
71 | Test | rrse: 0.0919 | corr: 0.8537 | approx epoch time: 0.98s
73 | Test | rrse: 0.0875 | corr: 0.8714 | approx epoch time: 1.04s
75 | Test | rrse: 0.0811 | corr: 0.8806 | approx epoch time: 0.99s
78 | Test | rrse: 0.0819 | corr: 0.8890 | approx epoch time: 1.09s
83 | Test | rrse: 0.0832 | corr: 0.8961 | approx epoch time: 0.94s
85 | Test | rrse: 0.0826 | corr: 0.8905 | approx epoch time: 1.05s
86 | Test | rrse: 0.0788 | corr: 0.8880 | approx epoch time: 1.00s
88 | Test | rrse: 0.0748 | corr: 0.9037 | approx epoch time: 1.03s
89 | Test | rrse: 0.0742 | corr: 0.8942 | approx epoch time: 0.88s
91 | Test | rrse: 0.0763 | corr: 0.9085 | approx epoch time: 1.13s
95 | Test | rrse: 0.0754 | corr: 0.9145 | approx epoch time: 0.99s
96 | Test | rrse: 0.0714 | corr: 0.9118 | approx epoch time: 0.93s
97 | Test | rrse: 0.0652 | corr: 0.9109 | approx epoch time: 1.05s
98 | Test | rrse: 0.0684 | corr: 0.9140 | approx epoch time: 1.10s
99 | Test | rrse: 0.0646 | corr: 0.9125 | approx epoch time: 1.05s
101 | Test | rrse: 0.0648 | corr: 0.9123 | approx epoch time: 0.92s
103 | Test | rrse: 0.0614 | corr: 0.9131 | approx epoch time: 0.95s
105 | Test | rrse: 0.0656 | corr: 0.9197 | approx epoch time: 1.20s
106 | Test | rrse: 0.0619 | corr: 0.9197 | approx epoch time: 0.91s
109 | Test | rrse: 0.0588 | corr: 0.9218 | approx epoch time: 0.91s
117 | Test | rrse: 0.0585 | corr: 0.9212 | approx epoch time: 1.05s
118 | Test | rrse: 0.0618 | corr: 0.9214 | approx epoch time: 1.11s
121 | Test | rrse: 0.0606 | corr: 0.9258 | approx epoch time: 1.03s
128 | Test | rrse: 0.0564 | corr: 0.9275 | approx epoch time: 0.90s
132 | Test | rrse: 0.0554 | corr: 0.9293 | approx epoch time: 1.10s
140 | Test | rrse: 0.0559 | corr: 0.9191 | approx epoch time: 1.11s
143 | Test | rrse: 0.0550 | corr: 0.9254 | approx epoch time: 1.05s
147 | Test | rrse: 0.0540 | corr: 0.9249 | approx epoch time: 0.97s
148 | Test | rrse: 0.0577 | corr: 0.9331 | approx epoch time: 0.86s
154 | Test | rrse: 0.0534 | corr: 0.9234 | approx epoch time: 1.05s
155 | Test | rrse: 0.0539 | corr: 0.9237 | approx epoch time: 0.90s
161 | Test | rrse: 0.0518 | corr: 0.9234 | approx epoch time: 0.97s
170 | Test | rrse: 0.0475 | corr: 0.9179 | approx epoch time: 1.00s
End of Exp 2

Exp 3
2019-11-01 02:20:34.060785
1 | Test | rrse: 0.1315 | corr: 0.6331 | approx epoch time: 4.82s
2 | Test | rrse: 0.0698 | corr: 0.8366 | approx epoch time: 0.93s
5 | Test | rrse: 0.0478 | corr: 0.8807 | approx epoch time: 1.09s
6 | Test | rrse: 0.0462 | corr: 0.8380 | approx epoch time: 0.91s
8 | Test | rrse: 0.0470 | corr: 0.8325 | approx epoch time: 1.05s
End of Exp 3

Exp 4
2019-11-01 02:21:02.159497
1 | Test | rrse: 0.2939 | corr: 0.6317 | approx epoch time: 4.83s
2 | Test | rrse: 0.3065 | corr: 0.6787 | approx epoch time: 0.90s
3 | Test | rrse: 0.2746 | corr: 0.6666 | approx epoch time: 1.03s
4 | Test | rrse: 0.2349 | corr: 0.6939 | approx epoch time: 1.11s
5 | Test | rrse: 0.2154 | corr: 0.6920 | approx epoch time: 1.03s
6 | Test | rrse: 0.1757 | corr: 0.6966 | approx epoch time: 0.99s
7 | Test | rrse: 0.1480 | corr: 0.7154 | approx epoch time: 1.02s
8 | Test | rrse: 0.1301 | corr: 0.7016 | approx epoch time: 0.90s
9 | Test | rrse: 0.1103 | corr: 0.7050 | approx epoch time: 1.07s
End of Exp 4

Exp 5
2019-11-01 02:21:32.912284
1 | Test | rrse: 1.1057 | corr: 0.0699 | approx epoch time: 4.66s
2 | Test | rrse: 0.7747 | corr: 0.1562 | approx epoch time: 1.12s
3 | Test | rrse: 0.7371 | corr: 0.1769 | approx epoch time: 1.09s
5 | Test | rrse: 0.6464 | corr: 0.2299 | approx epoch time: 0.98s
6 | Test | rrse: 0.6516 | corr: 0.1871 | approx epoch time: 1.00s
7 | Test | rrse: 0.5924 | corr: 0.2260 | approx epoch time: 1.08s
8 | Test | rrse: 0.5623 | corr: 0.2598 | approx epoch time: 1.04s
9 | Test | rrse: 0.5131 | corr: 0.3553 | approx epoch time: 1.02s
10 | Test | rrse: 0.4626 | corr: 0.4576 | approx epoch time: 1.03s
11 | Test | rrse: 0.4273 | corr: 0.5364 | approx epoch time: 1.16s
12 | Test | rrse: 0.3682 | corr: 0.5662 | approx epoch time: 1.03s
13 | Test | rrse: 0.3288 | corr: 0.5907 | approx epoch time: 1.05s
14 | Test | rrse: 0.3182 | corr: 0.5864 | approx epoch time: 1.11s
15 | Test | rrse: 0.2999 | corr: 0.5865 | approx epoch time: 0.91s
16 | Test | rrse: 0.2766 | corr: 0.5804 | approx epoch time: 0.97s
17 | Test | rrse: 0.2727 | corr: 0.5836 | approx epoch time: 1.00s
18 | Test | rrse: 0.2426 | corr: 0.5673 | approx epoch time: 0.98s
31 | Test | rrse: 0.1926 | corr: 0.5397 | approx epoch time: 1.02s
32 | Test | rrse: 0.2024 | corr: 0.5521 | approx epoch time: 0.94s
33 | Test | rrse: 0.1816 | corr: 0.5619 | approx epoch time: 1.10s
34 | Test | rrse: 0.1787 | corr: 0.5825 | approx epoch time: 1.13s
35 | Test | rrse: 0.1939 | corr: 0.5930 | approx epoch time: 1.03s
36 | Test | rrse: 0.1795 | corr: 0.5966 | approx epoch time: 1.03s
37 | Test | rrse: 0.1684 | corr: 0.6112 | approx epoch time: 1.01s
38 | Test | rrse: 0.1451 | corr: 0.6244 | approx epoch time: 0.97s
39 | Test | rrse: 0.1483 | corr: 0.6379 | approx epoch time: 1.06s
40 | Test | rrse: 0.1265 | corr: 0.6479 | approx epoch time: 1.07s
41 | Test | rrse: 0.1288 | corr: 0.6652 | approx epoch time: 1.08s
42 | Test | rrse: 0.1230 | corr: 0.6713 | approx epoch time: 1.04s
43 | Test | rrse: 0.1205 | corr: 0.6790 | approx epoch time: 0.98s
44 | Test | rrse: 0.1101 | corr: 0.7212 | approx epoch time: 0.93s
45 | Test | rrse: 0.1044 | corr: 0.7449 | approx epoch time: 1.05s
46 | Test | rrse: 0.0901 | corr: 0.7687 | approx epoch time: 1.11s
47 | Test | rrse: 0.0982 | corr: 0.7844 | approx epoch time: 0.98s
48 | Test | rrse: 0.0885 | corr: 0.7817 | approx epoch time: 1.00s
