,0,1,2,3,4,5,6,7,8,9,10,Occur Time
98,0,1,0,0,0,4,2,0,0,0,0,20190401
99,0,0,0,0,0,3,1,0,0,0,0,20190402
100,0,0,0,0,0,1,0,1,0,0,0,20190403
101,0,0,1,0,0,2,0,0,0,0,0,20190404
102,0,1,0,0,0,4,1,0,0,0,0,20190406
103,11,2,0,0,0,2,3,0,0,0,0,20190407
104,0,1,0,0,0,2,1,0,0,1,0,20190408
105,0,0,0,0,0,1,6,0,0,0,0,20190409
106,0,0,0,0,0,2,2,0,0,0,0,20190410
107,0,0,0,0,0,5,1,0,0,0,0,20190411
108,0,2,0,0,0,2,2,0,0,1,0,20190412
109,0,0,0,0,0,8,1,0,0,0,0,20190413
110,0,0,0,0,0,1,2,0,0,0,0,20190414
111,0,0,0,2,0,2,0,0,0,0,0,20190415
112,0,0,0,2,0,4,2,0,0,1,0,20190416
113,1,0,0,0,0,9,1,0,0,0,0,20190417
114,0,0,0,0,0,3,0,0,0,0,0,20190419
115,0,1,1,0,0,0,0,0,0,1,0,20190420
116,0,0,0,0,0,6,1,0,0,0,0,20190421
117,0,0,0,0,0,2,1,0,0,0,0,20190422
118,0,0,0,0,0,2,3,0,0,0,0,20190423
119,0,0,0,0,0,13,1,0,0,0,0,20190424
120,1,1,0,0,0,3,2,0,0,0,0,20190425
121,0,0,0,1,0,1,2,0,0,0,0,20190426
122,0,2,0,0,0,2,2,0,0,0,0,20190427
123,0,0,0,0,0,3,1,0,0,0,0,20190428
124,0,1,0,0,0,4,2,0,0,0,0,20190430
125,0,0,0,0,0,1,1,0,0,1,0,20190501
126,0,0,0,0,0,0,0,0,0,1,0,20190502
127,0,0,0,0,0,1,5,0,0,0,0,20190503
128,0,0,1,0,0,3,0,0,0,0,0,20190504
129,0,0,0,0,0,5,3,0,0,0,0,20190505
130,0,1,0,2,0,3,0,0,0,1,0,20190506
131,0,0,0,0,0,5,1,0,0,1,0,20190507
132,0,0,0,1,0,1,1,0,0,0,0,20190508
133,0,1,0,0,0,3,1,0,0,0,0,20190509
134,0,0,0,0,0,4,1,0,0,0,0,20190510
135,0,3,0,0,0,4,1,0,0,1,0,20190511
136,0,1,0,0,0,2,0,0,0,0,0,20190512
137,1,0,1,0,0,6,2,0,0,0,0,20190513
138,0,6,0,1,0,2,1,0,0,0,0,20190514
139,0,0,0,0,0,5,2,0,0,0,0,20190515
140,0,0,0,1,0,1,2,0,0,0,0,20190516
141,0,0,0,0,0,2,4,0,0,0,0,20190517
142,0,0,0,0,0,0,0,0,0,1,0,20190518
143,0,1,0,0,0,1,2,0,0,0,0,20190519
144,0,1,1,0,0,3,1,0,0,0,0,20190520
145,0,0,0,0,0,5,1,0,0,0,0,20190521
146,0,0,1,0,0,0,3,0,0,0,0,20190522
147,0,2,1,0,0,4,0,0,0,0,0,20190523
148,0,0,0,0,0,1,1,0,0,0,0,20190524
149,0,0,0,0,0,6,1,0,0,0,0,20190525
150,0,1,1,0,0,2,1,0,0,0,0,20190526
151,0,0,0,0,0,2,1,0,0,0,0,20190527
152,0,0,0,1,0,3,6,0,0,0,0,20190528
153,0,0,0,0,0,2,0,0,0,1,0,20190529
154,1,0,1,0,0,1,3,0,0,0,0,20190530
155,0,0,0,0,0,2,1,0,0,1,0,20190531
156,0,0,0,0,0,2,1,0,0,0,0,20190601
157,0,1,0,0,0,1,0,0,0,0,0,20190602
158,0,2,0,0,0,1,0,0,0,0,0,20190603
159,0,0,0,0,0,4,1,0,0,1,0,20190604
160,0,0,0,1,0,2,0,0,0,0,0,20190605
161,0,1,0,0,0,4,3,0,0,0,0,20190606
162,0,0,0,0,0,0,0,0,0,0,0,20190607
163,1,0,0,1,0,2,4,0,0,0,0,20190608
164,0,0,0,0,0,3,0,0,0,0,0,20190609
165,0,0,0,0,0,5,1,0,0,0,0,20190610
166,0,0,0,0,0,2,1,0,0,0,0,20190611
167,0,0,0,0,0,11,0,0,0,0,0,20190612
168,0,0,0,0,0,1,3,0,0,0,0,20190613
169,0,0,0,0,0,1,2,0,0,0,0,20190614
170,0,0,0,0,0,3,1,0,0,0,0,20190615
171,0,0,0,0,0,2,3,0,0,0,0,20190616
172,0,0,0,0,0,1,1,0,0,0,0,20190617
173,0,0,0,0,0,0,3,0,0,0,0,20190618
174,0,1,0,0,0,2,0,0,0,1,0,20190619
175,0,0,0,0,0,3,1,0,0,0,0,20190620
176,0,10,0,0,0,1,2,0,0,0,0,20190621
177,0,0,0,0,0,2,1,2,0,0,0,20190622
178,0,0,0,0,0,7,1,0,0,0,0,20190623
179,0,1,0,0,0,1,0,0,0,2,0,20190624
180,0,0,0,0,0,1,0,0,0,0,0,20190625
181,0,0,0,0,0,3,2,0,0,0,0,20190626
182,0,1,0,0,0,1,1,0,0,0,0,20190627
183,0,0,0,0,0,0,1,0,0,0,0,20190628
184,0,1,0,0,0,0,1,0,0,0,0,20190629
185,0,1,0,0,0,0,1,0,0,0,0,20190630
186,0,0,0,0,0,3,4,0,0,0,0,20190701
187,0,0,0,0,0,1,1,0,0,0,0,20190702
188,1,1,0,0,0,4,2,0,0,0,1,20190703
189,0,0,0,0,0,5,3,0,0,0,0,20190704
190,0,0,0,0,0,2,2,0,0,0,0,20190705
191,0,1,1,0,0,1,0,0,0,1,0,20190706
192,0,0,0,0,0,0,2,0,0,1,0,20190707
193,0,0,0,0,0,3,2,0,0,1,0,20190708
194,0,1,0,0,0,3,0,0,0,0,0,20190709
195,0,0,0,0,0,0,1,0,0,0,0,20190710
196,0,2,0,1,0,3,1,0,0,0,0,20190711
197,0,0,0,0,0,6,2,0,0,0,0,20190712
198,0,0,0,2,0,2,2,0,0,0,0,20190713
199,0,0,0,0,0,6,3,0,0,0,0,20190714
200,0,0,0,0,0,4,1,0,0,0,0,20190715
201,0,1,0,0,0,1,2,0,0,0,1,20190716
202,0,0,0,0,0,0,0,0,0,1,0,20190717
203,0,2,0,0,0,2,1,0,0,0,0,20190718
204,0,9,0,0,0,1,1,0,0,0,0,20190719
